kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bentuk_usaha,jumlah_umkm,satuan,tahun
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PERORANGAN,21.0,UNIT,2020
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,CV,137.0,UNIT,2020
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PT,7.0,UNIT,2020
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KOPERASI,0.0,UNIT,2020
32,JAWA BARAT,3271,KOTA BOGOR,PERORANGAN,35.0,UNIT,2020
32,JAWA BARAT,3271,KOTA BOGOR,CV,89.0,UNIT,2020
32,JAWA BARAT,3271,KOTA BOGOR,PT,14.0,UNIT,2020
32,JAWA BARAT,3271,KOTA BOGOR,KOPERASI,0.0,UNIT,2020
32,JAWA BARAT,3272,KOTA SUKABUMI,PERORANGAN,17.0,UNIT,2020
32,JAWA BARAT,3272,KOTA SUKABUMI,CV,126.0,UNIT,2020
32,JAWA BARAT,3272,KOTA SUKABUMI,PT,24.0,UNIT,2020
32,JAWA BARAT,3272,KOTA SUKABUMI,KOPERASI,0.0,UNIT,2020
32,JAWA BARAT,3273,KOTA BANDUNG,PERORANGAN,56.0,UNIT,2020
32,JAWA BARAT,3273,KOTA BANDUNG,CV,335.0,UNIT,2020
32,JAWA BARAT,3273,KOTA BANDUNG,PT,31.0,UNIT,2020
32,JAWA BARAT,3273,KOTA BANDUNG,KOPERASI,0.0,UNIT,2020
32,JAWA BARAT,3274,KOTA CIREBON,PERORANGAN,53.0,UNIT,2020
32,JAWA BARAT,3274,KOTA CIREBON,CV,146.0,UNIT,2020
32,JAWA BARAT,3274,KOTA CIREBON,PT,11.0,UNIT,2020
32,JAWA BARAT,3274,KOTA CIREBON,KOPERASI,0.0,UNIT,2020
32,JAWA BARAT,3275,KOTA BEKASI,PERORANGAN,25.0,UNIT,2020
32,JAWA BARAT,3275,KOTA BEKASI,CV,84.0,UNIT,2020
32,JAWA BARAT,3275,KOTA BEKASI,PT,15.0,UNIT,2020
32,JAWA BARAT,3275,KOTA BEKASI,KOPERASI,2.0,UNIT,2020
32,JAWA BARAT,3276,KOTA DEPOK,PERORANGAN,18.0,UNIT,2020
32,JAWA BARAT,3276,KOTA DEPOK,CV,127.0,UNIT,2020
32,JAWA BARAT,3276,KOTA DEPOK,PT,2.0,UNIT,2020
32,JAWA BARAT,3276,KOTA DEPOK,KOPERASI,0.0,UNIT,2020
32,JAWA BARAT,3277,KOTA CIMAHI,PERORANGAN,34.0,UNIT,2020
32,JAWA BARAT,3277,KOTA CIMAHI,CV,131.0,UNIT,2020
32,JAWA BARAT,3277,KOTA CIMAHI,PT,19.0,UNIT,2020
32,JAWA BARAT,3277,KOTA CIMAHI,KOPERASI,0.0,UNIT,2020
32,JAWA BARAT,3278,KOTA TASIKMALAYA,PERORANGAN,10.0,UNIT,2020
32,JAWA BARAT,3278,KOTA TASIKMALAYA,CV,145.0,UNIT,2020
32,JAWA BARAT,3278,KOTA TASIKMALAYA,PT,35.0,UNIT,2020
32,JAWA BARAT,3278,KOTA TASIKMALAYA,KOPERASI,1.0,UNIT,2020
32,JAWA BARAT,3279,KOTA BANJAR,PERORANGAN,34.0,UNIT,2020
32,JAWA BARAT,3279,KOTA BANJAR,CV,99.0,UNIT,2020
32,JAWA BARAT,3279,KOTA BANJAR,PT,7.0,UNIT,2020
32,JAWA BARAT,3279,KOTA BANJAR,KOPERASI,0.0,UNIT,2020
32,JAWA BARAT,3201,KABUPATEN BOGOR,PERORANGAN,34.2,UNIT,2021
32,JAWA BARAT,3201,KABUPATEN BOGOR,CV,171.2,UNIT,2021
32,JAWA BARAT,3201,KABUPATEN BOGOR,PT,42.0,UNIT,2021
32,JAWA BARAT,3201,KABUPATEN BOGOR,KOPERASI,15.6,UNIT,2021
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PERORANGAN,16.2,UNIT,2021
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,CV,167.2,UNIT,2021
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PT,17.6,UNIT,2021
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KOPERASI,5.2,UNIT,2021
32,JAWA BARAT,3203,KABUPATEN CIANJUR,PERORANGAN,34.2,UNIT,2021
32,JAWA BARAT,3203,KABUPATEN CIANJUR,CV,171.2,UNIT,2021
32,JAWA BARAT,3203,KABUPATEN CIANJUR,PT,42.0,UNIT,2021
32,JAWA BARAT,3203,KABUPATEN CIANJUR,KOPERASI,0.0,UNIT,2021
32,JAWA BARAT,3204,KABUPATEN BANDUNG,PERORANGAN,29.8,UNIT,2021
32,JAWA BARAT,3204,KABUPATEN BANDUNG,CV,171.2,UNIT,2021
32,JAWA BARAT,3204,KABUPATEN BANDUNG,PT,42.0,UNIT,2021
32,JAWA BARAT,3204,KABUPATEN BANDUNG,KOPERASI,3.4,UNIT,2021
32,JAWA BARAT,3205,KABUPATEN GARUT,PERORANGAN,30.8,UNIT,2021
32,JAWA BARAT,3205,KABUPATEN GARUT,CV,165.6,UNIT,2021
32,JAWA BARAT,3205,KABUPATEN GARUT,PT,19.0,UNIT,2021
32,JAWA BARAT,3205,KABUPATEN GARUT,KOPERASI,0.0,UNIT,2021
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PERORANGAN,31.0,UNIT,2021
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,CV,159.4,UNIT,2021
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PT,19.4,UNIT,2021
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KOPERASI,5.2,UNIT,2021
32,JAWA BARAT,3207,KABUPATEN CIAMIS,PERORANGAN,27.6,UNIT,2021
32,JAWA BARAT,3207,KABUPATEN CIAMIS,CV,173.0,UNIT,2021
32,JAWA BARAT,3207,KABUPATEN CIAMIS,PT,35.8,UNIT,2021
32,JAWA BARAT,3207,KABUPATEN CIAMIS,KOPERASI,0.0,UNIT,2021
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PERORANGAN,41.4,UNIT,2021
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,CV,166.8,UNIT,2021
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PT,12.8,UNIT,2021
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KOPERASI,0.2,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,PERORANGAN,31.6,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,CV,166.8,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,PT,12.8,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,KOPERASI,0.2,UNIT,2021
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PERORANGAN,34.8,UNIT,2021
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,CV,139.6,UNIT,2021
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PT,12.8,UNIT,2021
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KOPERASI,0.2,UNIT,2021
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PERORANGAN,31.2,UNIT,2021
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,CV,147.2,UNIT,2021
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PT,17.6,UNIT,2021
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KOPERASI,0.0,UNIT,2021
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PERORANGAN,49.6,UNIT,2021
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,CV,132.0,UNIT,2021
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PT,12.8,UNIT,2021
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KOPERASI,0.2,UNIT,2021
32,JAWA BARAT,3213,KABUPATEN SUBANG,PERORANGAN,30.2,UNIT,2021
32,JAWA BARAT,3213,KABUPATEN SUBANG,CV,141.8,UNIT,2021
32,JAWA BARAT,3213,KABUPATEN SUBANG,PT,13.8,UNIT,2021
32,JAWA BARAT,3213,KABUPATEN SUBANG,KOPERASI,0.0,UNIT,2021
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PERORANGAN,26.2,UNIT,2021
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,CV,129.8,UNIT,2021
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PT,16.2,UNIT,2021
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KOPERASI,0.0,UNIT,2021
32,JAWA BARAT,3215,KABUPATEN KARAWANG,PERORANGAN,44.0,UNIT,2021
32,JAWA BARAT,3215,KABUPATEN KARAWANG,CV,124.6,UNIT,2021
32,JAWA BARAT,3215,KABUPATEN KARAWANG,PT,8.4,UNIT,2021
32,JAWA BARAT,3215,KABUPATEN KARAWANG,KOPERASI,0.2,UNIT,2021
32,JAWA BARAT,3216,KABUPATEN BEKASI,PERORANGAN,23.2,UNIT,2021
32,JAWA BARAT,3216,KABUPATEN BEKASI,CV,147.6,UNIT,2021
32,JAWA BARAT,3216,KABUPATEN BEKASI,PT,21.2,UNIT,2021
32,JAWA BARAT,3216,KABUPATEN BEKASI,KOPERASI,6.0,UNIT,2021
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PERORANGAN,23.2,UNIT,2021
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,CV,116.2,UNIT,2021
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PT,25.4,UNIT,2021
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KOPERASI,6.0,UNIT,2021
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PERORANGAN,34.8,UNIT,2021
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,CV,124.6,UNIT,2021
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PT,19.8,UNIT,2021
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KOPERASI,4.2,UNIT,2021
32,JAWA BARAT,3271,KOTA BOGOR,PERORANGAN,37.2,UNIT,2021
32,JAWA BARAT,3271,KOTA BOGOR,CV,115.4,UNIT,2021
32,JAWA BARAT,3271,KOTA BOGOR,PT,19.0,UNIT,2021
32,JAWA BARAT,3271,KOTA BOGOR,KOPERASI,0.4,UNIT,2021
32,JAWA BARAT,3272,KOTA SUKABUMI,PERORANGAN,31.4,UNIT,2021
32,JAWA BARAT,3272,KOTA SUKABUMI,CV,115.4,UNIT,2021
32,JAWA BARAT,3272,KOTA SUKABUMI,PT,14.0,UNIT,2021
32,JAWA BARAT,3272,KOTA SUKABUMI,KOPERASI,0.4,UNIT,2021
32,JAWA BARAT,3273,KOTA BANDUNG,PERORANGAN,40.6,UNIT,2021
32,JAWA BARAT,3273,KOTA BANDUNG,CV,109.8,UNIT,2021
32,JAWA BARAT,3273,KOTA BANDUNG,PT,18.0,UNIT,2021
32,JAWA BARAT,3273,KOTA BANDUNG,KOPERASI,0.4,UNIT,2021
32,JAWA BARAT,3274,KOTA CIREBON,PERORANGAN,31.4,UNIT,2021
32,JAWA BARAT,3274,KOTA CIREBON,CV,115.4,UNIT,2021
32,JAWA BARAT,3274,KOTA CIREBON,PT,14.0,UNIT,2021
32,JAWA BARAT,3274,KOTA CIREBON,KOPERASI,0.4,UNIT,2021
32,JAWA BARAT,3275,KOTA BEKASI,PERORANGAN,40.6,UNIT,2021
32,JAWA BARAT,3275,KOTA BEKASI,CV,115.4,UNIT,2021
32,JAWA BARAT,3275,KOTA BEKASI,PT,18.0,UNIT,2021
32,JAWA BARAT,3275,KOTA BEKASI,KOPERASI,0.4,UNIT,2021
32,JAWA BARAT,3276,KOTA DEPOK,PERORANGAN,26.4,UNIT,2021
32,JAWA BARAT,3276,KOTA DEPOK,CV,126.6,UNIT,2021
32,JAWA BARAT,3276,KOTA DEPOK,PT,18.2,UNIT,2021
32,JAWA BARAT,3276,KOTA DEPOK,KOPERASI,0.6,UNIT,2021
32,JAWA BARAT,3277,KOTA CIMAHI,PERORANGAN,32.8,UNIT,2021
32,JAWA BARAT,3277,KOTA CIMAHI,CV,117.4,UNIT,2021
32,JAWA BARAT,3277,KOTA CIMAHI,PT,10.8,UNIT,2021
32,JAWA BARAT,3277,KOTA CIMAHI,KOPERASI,0.6,UNIT,2021
32,JAWA BARAT,3278,KOTA TASIKMALAYA,PERORANGAN,26.4,UNIT,2021
32,JAWA BARAT,3278,KOTA TASIKMALAYA,CV,126.6,UNIT,2021
32,JAWA BARAT,3278,KOTA TASIKMALAYA,PT,18.2,UNIT,2021
32,JAWA BARAT,3278,KOTA TASIKMALAYA,KOPERASI,2.2,UNIT,2021
32,JAWA BARAT,3279,KOTA BANJAR,PERORANGAN,33.4,UNIT,2021
32,JAWA BARAT,3279,KOTA BANJAR,CV,117.4,UNIT,2021
32,JAWA BARAT,3279,KOTA BANJAR,PT,14.8,UNIT,2021
32,JAWA BARAT,3279,KOTA BANJAR,KOPERASI,7.2,UNIT,2021
