id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bentuk_usaha,jumlah_umkm,satuan,tahun
69,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PERORANGAN,21,UNIT,2020
70,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,CV,137,UNIT,2020
71,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PT,7,UNIT,2020
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KOPERASI,0,UNIT,2020
73,32,JAWA BARAT,3271,KOTA BOGOR,PERORANGAN,35,UNIT,2020
74,32,JAWA BARAT,3271,KOTA BOGOR,CV,89,UNIT,2020
75,32,JAWA BARAT,3271,KOTA BOGOR,PT,14,UNIT,2020
76,32,JAWA BARAT,3271,KOTA BOGOR,KOPERASI,0,UNIT,2020
77,32,JAWA BARAT,3272,KOTA SUKABUMI,PERORANGAN,17,UNIT,2020
78,32,JAWA BARAT,3272,KOTA SUKABUMI,CV,126,UNIT,2020
79,32,JAWA BARAT,3272,KOTA SUKABUMI,PT,24,UNIT,2020
80,32,JAWA BARAT,3272,KOTA SUKABUMI,KOPERASI,0,UNIT,2020
81,32,JAWA BARAT,3273,KOTA BANDUNG,PERORANGAN,56,UNIT,2020
82,32,JAWA BARAT,3273,KOTA BANDUNG,CV,335,UNIT,2020
83,32,JAWA BARAT,3273,KOTA BANDUNG,PT,31,UNIT,2020
84,32,JAWA BARAT,3273,KOTA BANDUNG,KOPERASI,0,UNIT,2020
85,32,JAWA BARAT,3274,KOTA CIREBON,PERORANGAN,53,UNIT,2020
86,32,JAWA BARAT,3274,KOTA CIREBON,CV,146,UNIT,2020
87,32,JAWA BARAT,3274,KOTA CIREBON,PT,11,UNIT,2020
88,32,JAWA BARAT,3274,KOTA CIREBON,KOPERASI,0,UNIT,2020
89,32,JAWA BARAT,3275,KOTA BEKASI,PERORANGAN,25,UNIT,2020
90,32,JAWA BARAT,3275,KOTA BEKASI,CV,84,UNIT,2020
91,32,JAWA BARAT,3275,KOTA BEKASI,PT,15,UNIT,2020
92,32,JAWA BARAT,3275,KOTA BEKASI,KOPERASI,2,UNIT,2020
93,32,JAWA BARAT,3276,KOTA DEPOK,PERORANGAN,18,UNIT,2020
94,32,JAWA BARAT,3276,KOTA DEPOK,CV,127,UNIT,2020
95,32,JAWA BARAT,3276,KOTA DEPOK,PT,2,UNIT,2020
96,32,JAWA BARAT,3276,KOTA DEPOK,KOPERASI,0,UNIT,2020
97,32,JAWA BARAT,3277,KOTA CIMAHI,PERORANGAN,34,UNIT,2020
98,32,JAWA BARAT,3277,KOTA CIMAHI,CV,131,UNIT,2020
99,32,JAWA BARAT,3277,KOTA CIMAHI,PT,19,UNIT,2020
100,32,JAWA BARAT,3277,KOTA CIMAHI,KOPERASI,0,UNIT,2020
101,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PERORANGAN,10,UNIT,2020
102,32,JAWA BARAT,3278,KOTA TASIKMALAYA,CV,145,UNIT,2020
103,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PT,35,UNIT,2020
104,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KOPERASI,1,UNIT,2020
105,32,JAWA BARAT,3279,KOTA BANJAR,PERORANGAN,34,UNIT,2020
106,32,JAWA BARAT,3279,KOTA BANJAR,CV,99,UNIT,2020
107,32,JAWA BARAT,3279,KOTA BANJAR,PT,7,UNIT,2020
108,32,JAWA BARAT,3279,KOTA BANJAR,KOPERASI,0,UNIT,2020
