kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_usaha,jumlah_umkm,satuan,tahun
32,JAWA BARAT,3205,KABUPATEN GARUT,FASHION,36.0,UNIT,2020
32,JAWA BARAT,3205,KABUPATEN GARUT,INDUSTRI,9.0,UNIT,2020
32,JAWA BARAT,3205,KABUPATEN GARUT,JASA,7.0,UNIT,2020
32,JAWA BARAT,3205,KABUPATEN GARUT,KONVEKSI,20.0,UNIT,2020
32,JAWA BARAT,3205,KABUPATEN GARUT,KULINER,44.0,UNIT,2020
32,JAWA BARAT,3205,KABUPATEN GARUT,MAKANAN,90.0,UNIT,2020
32,JAWA BARAT,3205,KABUPATEN GARUT,MINUMAN,8.0,UNIT,2020
32,JAWA BARAT,3205,KABUPATEN GARUT,OBAT-OBATAN,0.0,UNIT,2020
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,AGRIBISNIS,5.0,UNIT,2020
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,AKSESORIS,1.0,UNIT,2020
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BATIK,0.0,UNIT,2020
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BORDIR,0.0,UNIT,2020
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,CRAFT,25.0,UNIT,2020
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DEKORASI,,UNIT,2020
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MEBEL,,UNIT,2020
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,FASHION,11.0,UNIT,2020
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,INDUSTRI,6.0,UNIT,2020
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,JASA,1.0,UNIT,2020
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KONVEKSI,21.0,UNIT,2020
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KULINER,25.0,UNIT,2020
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MAKANAN,105.0,UNIT,2020
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MINUMAN,15.0,UNIT,2020
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,OBAT-OBATAN,1.0,UNIT,2020
32,JAWA BARAT,3207,KABUPATEN CIAMIS,AGRIBISNIS,0.0,UNIT,2020
32,JAWA BARAT,3207,KABUPATEN CIAMIS,AKSESORIS,1.0,UNIT,2020
32,JAWA BARAT,3207,KABUPATEN CIAMIS,BATIK,0.0,UNIT,2020
32,JAWA BARAT,3207,KABUPATEN CIAMIS,BORDIR,0.0,UNIT,2020
32,JAWA BARAT,3207,KABUPATEN CIAMIS,CRAFT,8.0,UNIT,2020
32,JAWA BARAT,3207,KABUPATEN CIAMIS,DEKORASI,,UNIT,2020
32,JAWA BARAT,3207,KABUPATEN CIAMIS,MEBEL,,UNIT,2020
32,JAWA BARAT,3207,KABUPATEN CIAMIS,FASHION,3.0,UNIT,2020
32,JAWA BARAT,3207,KABUPATEN CIAMIS,INDUSTRI,1.0,UNIT,2020
32,JAWA BARAT,3207,KABUPATEN CIAMIS,JASA,4.0,UNIT,2020
32,JAWA BARAT,3207,KABUPATEN CIAMIS,KONVEKSI,2.0,UNIT,2020
32,JAWA BARAT,3207,KABUPATEN CIAMIS,KULINER,69.0,UNIT,2020
32,JAWA BARAT,3207,KABUPATEN CIAMIS,MAKANAN,98.0,UNIT,2020
