id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_usaha,jumlah_umkm,satuan,tahun
65,32,JAWA BARAT,3205,KABUPATEN GARUT,CRAFT,18.0,UNIT,2020
66,32,JAWA BARAT,3205,KABUPATEN GARUT,DEKORASI,,UNIT,2020
67,32,JAWA BARAT,3205,KABUPATEN GARUT,MEBEL,1.0,UNIT,2020
68,32,JAWA BARAT,3205,KABUPATEN GARUT,FASHION,36.0,UNIT,2020
69,32,JAWA BARAT,3205,KABUPATEN GARUT,INDUSTRI,9.0,UNIT,2020
70,32,JAWA BARAT,3205,KABUPATEN GARUT,JASA,7.0,UNIT,2020
71,32,JAWA BARAT,3205,KABUPATEN GARUT,KONVEKSI,20.0,UNIT,2020
72,32,JAWA BARAT,3205,KABUPATEN GARUT,KULINER,44.0,UNIT,2020
73,32,JAWA BARAT,3205,KABUPATEN GARUT,MAKANAN,90.0,UNIT,2020
74,32,JAWA BARAT,3205,KABUPATEN GARUT,MINUMAN,8.0,UNIT,2020
75,32,JAWA BARAT,3205,KABUPATEN GARUT,OBAT-OBATAN,0.0,UNIT,2020
76,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,AGRIBISNIS,5.0,UNIT,2020
77,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,AKSESORIS,1.0,UNIT,2020
78,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BATIK,0.0,UNIT,2020
79,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BORDIR,0.0,UNIT,2020
80,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,CRAFT,25.0,UNIT,2020
81,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DEKORASI,,UNIT,2020
82,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MEBEL,,UNIT,2020
83,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,FASHION,11.0,UNIT,2020
84,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,INDUSTRI,6.0,UNIT,2020
85,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,JASA,1.0,UNIT,2020
86,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KONVEKSI,21.0,UNIT,2020
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KULINER,25.0,UNIT,2020
88,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MAKANAN,105.0,UNIT,2020
89,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MINUMAN,15.0,UNIT,2020
90,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,OBAT-OBATAN,1.0,UNIT,2020
91,32,JAWA BARAT,3207,KABUPATEN CIAMIS,AGRIBISNIS,0.0,UNIT,2020
92,32,JAWA BARAT,3207,KABUPATEN CIAMIS,AKSESORIS,1.0,UNIT,2020
93,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BATIK,0.0,UNIT,2020
94,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BORDIR,0.0,UNIT,2020
95,32,JAWA BARAT,3207,KABUPATEN CIAMIS,CRAFT,8.0,UNIT,2020
96,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DEKORASI,,UNIT,2020
97,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MEBEL,,UNIT,2020
98,32,JAWA BARAT,3207,KABUPATEN CIAMIS,FASHION,3.0,UNIT,2020
99,32,JAWA BARAT,3207,KABUPATEN CIAMIS,INDUSTRI,1.0,UNIT,2020
100,32,JAWA BARAT,3207,KABUPATEN CIAMIS,JASA,4.0,UNIT,2020
101,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KONVEKSI,2.0,UNIT,2020
102,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KULINER,69.0,UNIT,2020
103,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MAKANAN,98.0,UNIT,2020
104,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MINUMAN,9.0,UNIT,2020
105,32,JAWA BARAT,3207,KABUPATEN CIAMIS,OBAT-OBATAN,0.0,UNIT,2020
106,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,AGRIBISNIS,1.0,UNIT,2020
107,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,AKSESORIS,0.0,UNIT,2020
108,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BATIK,0.0,UNIT,2020
109,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BORDIR,0.0,UNIT,2020
110,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,CRAFT,3.0,UNIT,2020
111,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DEKORASI,,UNIT,2020
112,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MEBEL,,UNIT,2020
113,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,FASHION,2.0,UNIT,2020
114,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,INDUSTRI,0.0,UNIT,2020
115,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,JASA,0.0,UNIT,2020
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KONVEKSI,2.0,UNIT,2020
117,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KULINER,82.0,UNIT,2020
118,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MAKANAN,63.0,UNIT,2020
119,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MINUMAN,15.0,UNIT,2020
120,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,OBAT-OBATAN,0.0,UNIT,2020
121,32,JAWA BARAT,3209,KABUPATEN CIREBON,AGRIBISNIS,14.0,UNIT,2020
122,32,JAWA BARAT,3209,KABUPATEN CIREBON,AKSESORIS,1.0,UNIT,2020
123,32,JAWA BARAT,3209,KABUPATEN CIREBON,BATIK,0.0,UNIT,2020
124,32,JAWA BARAT,3209,KABUPATEN CIREBON,BORDIR,0.0,UNIT,2020
125,32,JAWA BARAT,3209,KABUPATEN CIREBON,CRAFT,23.0,UNIT,2020
126,32,JAWA BARAT,3209,KABUPATEN CIREBON,DEKORASI,,UNIT,2020
127,32,JAWA BARAT,3209,KABUPATEN CIREBON,MEBEL,1.0,UNIT,2020
128,32,JAWA BARAT,3209,KABUPATEN CIREBON,FASHION,23.0,UNIT,2020
129,32,JAWA BARAT,3209,KABUPATEN CIREBON,INDUSTRI,9.0,UNIT,2020
130,32,JAWA BARAT,3209,KABUPATEN CIREBON,JASA,3.0,UNIT,2020
131,32,JAWA BARAT,3209,KABUPATEN CIREBON,KONVEKSI,5.0,UNIT,2020
132,32,JAWA BARAT,3209,KABUPATEN CIREBON,KULINER,49.0,UNIT,2020
133,32,JAWA BARAT,3209,KABUPATEN CIREBON,MAKANAN,116.0,UNIT,2020
134,32,JAWA BARAT,3209,KABUPATEN CIREBON,MINUMAN,11.0,UNIT,2020
135,32,JAWA BARAT,3209,KABUPATEN CIREBON,OBAT-OBATAN,1.0,UNIT,2020
136,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,AGRIBISNIS,10.0,UNIT,2020
137,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,AKSESORIS,0.0,UNIT,2020
138,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BATIK,0.0,UNIT,2020
139,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BORDIR,0.0,UNIT,2020
140,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,CRAFT,25.0,UNIT,2020
141,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DEKORASI,,UNIT,2020
142,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MEBEL,,UNIT,2020
